Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::new_allocator()
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::~new_allocator()
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::deallocate(sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node**, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::allocator()
  0.00      0.00     0.00       16     0.00     0.00  std::allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::~allocator()
  0.00      0.00     0.00       16     0.00     0.00  std::_Head_base<0ul, unsigned long, false>::_Head_base()
